temperature,humidity,time
23.6,19.3,2020-02-21 21:04:33.777609
23.6,19.3,2020-02-21 21:04:34.987323
23.6,19.3,2020-02-21 21:04:36.219217
23.7,19.3,2020-02-21 21:04:37.439093
23.6,19.3,2020-02-21 21:04:38.661801
23.6,19.3,2020-02-21 21:04:39.877893
23.6,19.5,2020-02-21 21:04:41.092530
23.6,19.5,2020-02-21 21:04:42.313788
23.6,19.5,2020-02-21 21:04:43.524341
23.6,19.5,2020-02-21 21:04:44.732271
23.6,19.5,2020-02-21 21:04:45.947875
23.6,19.5,2020-02-21 21:04:47.163042
23.6,19.4,2020-02-21 21:04:48.381001
23.6,19.4,2020-02-21 21:04:49.598187
23.6,19.4,2020-02-21 21:04:50.828986
23.6,19.4,2020-02-21 21:04:52.052625
23.6,19.4,2020-02-21 21:04:53.268871
23.6,19.4,2020-02-21 21:04:54.479169
23.6,19.4,2020-02-21 21:04:55.687413
23.6,19.4,2020-02-21 21:04:56.924550
23.6,19.4,2020-02-21 21:04:58.145709
23.6,19.4,2020-02-21 21:04:59.493862
23.6,19.4,2020-02-21 21:05:00.733839
23.6,19.3,2020-02-21 21:05:01.949430
23.6,19.3,2020-02-21 21:05:03.174000
23.6,19.3,2020-02-21 21:05:04.392246
23.6,19.3,2020-02-21 21:05:05.608748
23.6,19.3,2020-02-21 21:05:06.820992
23.6,19.3,2020-02-21 21:05:08.052919
23.6,19.3,2020-02-21 21:05:09.280706
23.6,19.4,2020-02-21 21:05:10.510389
23.6,19.4,2020-02-21 21:05:11.737378
23.6,19.4,2020-02-21 21:05:12.948592
23.6,19.4,2020-02-21 21:05:14.156260
23.6,19.4,2020-02-21 21:05:15.403769
23.6,19.4,2020-02-21 21:05:16.617554
23.6,19.4,2020-02-21 21:05:17.830201
23.6,19.4,2020-02-21 21:05:19.047210
23.6,19.4,2020-02-21 21:05:20.256742
23.6,19.4,2020-02-21 21:05:21.468656
23.6,19.4,2020-02-21 21:05:22.682544
23.6,19.4,2020-02-21 21:05:23.899114
23.6,19.4,2020-02-21 21:05:25.116030
23.6,19.4,2020-02-21 21:05:26.334225
23.6,19.3,2020-02-21 21:05:27.549776
23.6,19.4,2020-02-21 21:05:28.762929
23.6,19.3,2020-02-21 21:05:29.988618
23.6,19.3,2020-02-21 21:05:31.238117
23.6,19.3,2020-02-21 21:05:32.461761
23.6,19.4,2020-02-21 21:05:33.679627
23.6,19.4,2020-02-21 21:05:34.901912
23.6,19.4,2020-02-21 21:05:36.147058
23.6,19.4,2020-02-21 21:05:37.366251
